AAAAABCLLMN,ABACALLANAM
AAAAABCLLNR,ABACALLANAR
AAAAABCLLNS,ABACALLANAS
AAAAABCLLNT,ABACALLANAT
AAAAABCLLNU,ABACALLANAU
AAAABCELLMN,ABACALLANEM
AAAABCELLNN,ABACALLANEN
AAAABCELLNS,ABACALLANES
AAAABCELLNU,ABACALLANEU
AAAABCILLNN,ABACALLANIN
AAAABCILLNS,ABACALLANIS
AABCGIILOOS,ABACIOLOGIS
AAAABDEIMNR,ABADANARIEM
AAAABDEINNR,ABADANARIEN
AAAABDEINRS,ABADANARIES
AAAABDEINRU,ABADANARIEU
AAAABDEMNSS,ABADANASSEM
AAAABDENNSS,ABADANASSEN
AAAABDENSSS,ABADANASSES
AAAABDENSSU,ABADANASSEU
AAAABDIMNSS,ABADANASSIM
AAAABDINNSS,ABADANASSIN
AAAABDINSSS,ABADANASSIS
AAAABDINSSU,ABADANASSIU
AAABDEEMNSS,ABADANESSEM
AAABDEENNSS,ABADANESSEN
AAABDEENSSS,ABADANESSES
AAABDEENSSU,ABADANESSEU
AAABDEIMNSS,ABADANESSIM
AAABDEINNSS,ABADANESSIN
AAABDEINSSS,ABADANESSIS
AAABDEINSSU,ABADANESSIU
AAABDDEENRS,ABADERNADES
AAAABDENNRR,ABADERNARAN
AAAABDENRRS,ABADERNARAS
AAABDEEMNRR,ABADERNAREM
AAABDEENNRR,ABADERNAREN
AAABDEENRRS,ABADERNARES
AAABDEENRRU,ABADERNAREU
AAAABDEINRR,ABADERNARIA
AAABDEEMNRV,ABADERNAVEM
AAABDEENNRV,ABADERNAVEN
AAABDEENRSV,ABADERNAVES
AAABDEENRUV,ABADERNAVEU
AAABDEIORSX,ABAIXADORES
AAABDEIRSUX,ABAIXADURES
AAABEIMNSTX,ABAIXAMENTS
AAAABCDELNS,ABALANCADES
AAAAABCLNNR,ABALANCARAN
AAAAABCLNRS,ABALANCARAS
AAAABCELMNR,ABALANCAREM
AAAABCELNNR,ABALANCAREN
AAAABCELNRS,ABALANCARES
AAAABCELNRU,ABALANCAREU
AAAAABCILNR,ABALANCARIA
AAAABCELMNV,ABALANCAVEM
AAAABCELNNV,ABALANCAVEN
AAAABCELNSV,ABALANCAVES
AAAABCELNUV,ABALANCAVEU
