AAABEEIIMNQRRRRUY,BANYARRIQUERARIEM
AAABEEIINNQRRRRUY,BANYARRIQUERARIEN
AAABEEIINQRRRRSUY,BANYARRIQUERARIES
AAABEEIINQRRRRUUY,BANYARRIQUERARIEU
AAABEEIMNQRRRSSUY,BANYARRIQUERASSEM
AAABEEINNQRRRSSUY,BANYARRIQUERASSEN
AAABEEINQRRRSSSUY,BANYARRIQUERASSES
AAABEEINQRRRSSUUY,BANYARRIQUERASSEU
AAABEIIMNQRRRSSUY,BANYARRIQUERASSIM
AAABEIINNQRRRSSUY,BANYARRIQUERASSIN
AAABEIINQRRRSSSUY,BANYARRIQUERASSIS
AAABEIINQRRRSSUUY,BANYARRIQUERASSIU
AABEEEIMNQRRRSSUY,BANYARRIQUERESSEM
AABEEEINNQRRRSSUY,BANYARRIQUERESSEN
AABEEEINQRRRSSSUY,BANYARRIQUERESSES
AABEEEINQRRRSSUUY,BANYARRIQUERESSEU
AABEEIIMNQRRRSSUY,BANYARRIQUERESSIM
AABEEIINNQRRRSSUY,BANYARRIQUERESSIN
AABEEIINQRRRSSSUY,BANYARRIQUERESSIS
AABEEIINQRRRSSUUY,BANYARRIQUERESSIU
DEEEEENNNOQRSSSUY,DESENSENYORESQUEN
DEEEEENNOQRSSSSUY,DESENSENYORESQUES
DEEEEINNNOQRSSSUY,DESENSENYORESQUIN
DEEEEINNOQRSSSSUY,DESENSENYORESQUIS
ADEEEFIILMQQSSSUU,DESQUALIFIQUESSEM
ADEEEFIILNQQSSSUU,DESQUALIFIQUESSEN
ADEEEFIILQQSSSSUU,DESQUALIFIQUESSES
ADEEEFIILQQSSSUUU,DESQUALIFIQUESSEU
ADEEFIIILMQQSSSUU,DESQUALIFIQUESSIM
ADEEFIIILNQQSSSUU,DESQUALIFIQUESSIN
ADEEFIIILQQSSSSUU,DESQUALIFIQUESSIS
ADEEFIIILQQSSSUUU,DESQUALIFIQUESSIU
EEEEIIMOQQRSSTTUU,ESTEQUIOMETRIQUES
EEIIIIMNOQQSSTTUU,QUIMIOSINTETIQUES
.,.
